MarkettypeID	TradingDate	RiskPremium1	RiskPremium2	SMB1	SMB2	HML1	HML2
P9707	2018-03-21	-.001031	-.001031	.002679	.003181	.000944	.001572
P9709	2018-03-21	-.005031	-.005031	-.000026	.000634	.002218	.003869
P9710	2018-03-21	-.005031	-.005031	-.000024	.000714	.001787	.003660
P9705	2018-03-20	.009969	.010969	-.001219	.001178	-.003575	-.005379
P9706	2018-03-20	.002969	.002969	-.000007	.000212	-.000176	.000367
P9707	2018-03-20	-.002031	-.002031	-.002328	-.001582	-.002245	-.001527
P9709	2018-03-20	.003969	.003969	-.000025	.000384	-.000541	-.000630
P9710	2018-03-20	.003969	.002969	-.000140	.000348	-.000563	-.000718
P9705	2018-03-19	.012969	.013969	.005750	.008260	.001975	.001755
P9706	2018-03-19	.002969	.002969	-.002375	-.000318	-.003409	-.002486
P9707	2018-03-19	-.002031	-.002031	.003681	.003091	.010372	.009637
P9709	2018-03-19	.002969	.003969	-.000229	.002161	-.004495	-.004000
P9710	2018-03-19	.002969	.003969	-.000197	.002105	-.004079	-.003724
P9705	2018-03-16	-.010031	-.009031	.012561	.012807	.000495	.001651
P9706	2018-03-16	-.008031	-.007031	.009572	.008786	-.004211	-.003672
P9707	2018-03-16	-.007031	-.007031	-.001475	-.001511	-.009513	-.009709
P9709	2018-03-16	-.008031	-.007031	.008645	.008072	-.002809	-.001886
P9710	2018-03-16	-.008031	-.007031	.008390	.007826	-.002811	-.001960
P9705	2018-03-15	-.001031	-.005031	-.014870	-.015275	-.001675	-.002189
P9706	2018-03-15	.001969	-.000031	-.007026	-.007036	-.003217	-.003149
P9707	2018-03-15	-.002031	-.002031	.000233	.000574	-.006319	-.006151
P9709	2018-03-15	.000969	-.001031	-.007599	-.008009	-.003354	-.003079
P9710	2018-03-15	.000969	-.001031	-.007357	-.007808	-.003518	-.003235
P9705	2018-03-14	-.017031	-.017031	-.000559	-.000177	-.000049	.000165
P9706	2018-03-14	-.006031	-.007031	-.003274	-.003931	.001349	.000927
P9707	2018-03-14	-.003031	-.003031	-.004147	-.003511	.001502	.002252
P9709	2018-03-14	-.007031	-.007031	-.004714	-.005338	.002420	.002256
P9710	2018-03-14	-.007031	-.007031	-.004757	-.005333	.002226	.002092
P9705	2018-03-13	-.006031	-.007031	-.000944	-.001334	-.001002	-.000606
P9706	2018-03-13	-.006031	-.006031	.005498	.004497	.001100	-.000892
P9707	2018-03-13	-.004031	-.004031	.001523	.000767	-.003434	-.003482
P9709	2018-03-13	-.006031	-.006031	.004554	.003438	.001150	-.000400
P9710	2018-03-13	-.006031	-.006031	.004552	.003354	.001289	-.000368
P9705	2018-03-12	.017969	.018969	.003550	.003584	-.001894	-.000389
P9706	2018-03-12	.005969	.006969	.008823	.008487	-.005106	-.006870
P9707	2018-03-12	.016969	.015969	.006231	.005546	.004555	.003773
